rank	hub_score	hub_score_module	degree	degree_module	betweenness	betweenness_module	pagerank	pagerank_module	eigenvector	eigenvector_module
1	SMAD3p_SMAD4__nuc	M2	ISGF3_bound_to_ISRE_promotor_elements__nuc	M1	fibroblast_proFibrotic__cell	M2	phenotype_myofibroblast_activation__cell	M2	ABCE1_RNASEL_dimer__mito	M1
2	fibroblast_proFibrotic__cell	M2	ISG_signature__nuc	M1	TGFB1__ext	M2	IFNA1__ext	M1	PDGF_A_and_B_chains_ECM_complex__ext	M2
3	TGFB1__ext	M2	SMAD3p_SMAD4__nuc	M2	NICD1__cyto	M3	fibroblast_proFibrotic__cell	M2	IL31_IL31RA_JAK1_OSMR_JAK1__cyto	M4
4	ISGF3_bound_to_ISRE_promotor_elements__nuc	M1	fibroblast_proFibrotic__cell	M2	SMAD3p_SMAD4__nuc	M2	BCR_activated__cell	M4	LTBP1_LTBP3_TGFB_LAP__ext	M2
5	ISG_signature__nuc	M1	COL1A1__ext	ssc_tier1	TGFB1_TGFBR2_TGFBR1__cyto	M2	phenotype_autoAb_production__ext	M4	LTBP1_TGFB1_LAP1_LAP1_binding_integrins__cyto	M2
6	NICD1__cyto	M3	BCR_activated__cell	M4	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	phenotype_ECM_deposition__ecm	M2	LTBPs_Fibrillin_1__ext	M2
7	TGFB1_TGFBR2_TGFBR1__cyto	M2	phenotype_myofibroblast_activation__cell	M2	SNAI2__nuc	ssc_tier1	YAP1_TAZ_active__nuc	M2	OSM_OSMR_LIFR__cyto	M4
8	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	YAP1_TAZ_active__nuc	M2	SMAD3_p__cyto	M2	pDC_activated__cell	M1	PDGF_precursor_dimers_AA_BB_A_B_CC_DD__er	M2
9	COL1A1__ext	ssc_tier1	NOTCH1_Coactivator_Complex_CDK8_CCNC__nuc	M3	NICD1__nuc	M3	IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto	M1	PDGF_precursor_dimers_AA_BB_A_B_CC_DD__golgi	M2
10	SNAI2__nuc	ssc_tier1	NOTCH1_Coactivator_Complex__nuc	M3	IL6__ext	M4	IFNB1__ext	M1	SMAD2_SMURF2__cyto	M2
11	NOTCH1_Coactivator_Complex__nuc	M3	PDGF_Phospho_PDGF_receptor_dimer__cyto	M2	COL1A1__ext	ssc_tier1	IRF3_p__nuc	M1	TGF_beta_3_LAP3_LAP3_binding_integrins__ext	M2
12	SMAD3_p__cyto	M2	TGFB1__ext	M2	gamma_secretase_complex__cyto	M3	COL1A1__ext	ssc_tier1	JAK1_inhibited__cyto	M1
13	CDH5_repressed__pm	M3	IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto	M1	CDH5_repressed__pm	M3	stiffened_ECM__ecm	M2	TBXA2R_signal__pm	M3
14	BCR_activated__cell	M4	IFNA_B_IFNAR2_p_JAK1_STAT2_p_IFNAR1_p_TYK2_p_STAT2_p_STAT1__cyto	M1	NICD1_RBPJ_SNW1__nuc	M3	NOTCH1_Coactivator_Complex__nuc	M3	IFNAR2c_UBP43__cyto	M1
15	phenotype_myofibroblast_activation__cell	M2	CDH5_repressed__pm	M3	NICD1_DTX__cyto	M3	phenotype_vascular_remodelling__cell	M3	p_STAT1_dimer_KPNA1__cyto	M1
16	NICD1__nuc	M3	TGFB1_TGFBR2_p_TGFBR1__cyto	M2	NOTCH1_Coactivator_Complex__nuc	M3	STAT6_p__cyto	M4	FURIN__golgi	M2
17	PDGF_Phospho_PDGF_receptor_dimer__cyto	M2	TGFB1_p_TGFBR_I_SMAD7_GADD34_PP1_ZFYVE9__endo	M2	NOTCH1_DTX__cyto	M3	STAT6_p_dimer__nuc	M4	NOTCH1_Fringe_modified_NOTCH1__cyto	M3
18	IL6__ext	M4	COL3A1__ext	ssc_tier1	IL6ST_JAK1_JAK2_TYK2__cyto	M4	PDGF_PDGF_receptor_dimer__cyto	M2	CRLF1_CLCF1__cyto	M4
19	IFNA_B_IFNAR2_JAK1_STAT2_IFNAR1_TYK2__cyto	M1	Dimeric_TGFB1_TGFBR2_homodimer__cyto	M2	IFNB1__ext	M1	IFNA_B_IFNAR2_p_JAK1_STAT2_IFNAR1_p_TYK2__cyto	M1	BAFF_BCMA__pm	M4
20	YAP1_TAZ_active__nuc	M2	FURIN__golgi	M2	PDGF_Phospho_PDGF_receptor_dimer__cyto	M2	CDH5_repressed__pm	M3	Novel_PDGF_precursor_dimers_CC_DD__ext	M2
