reaction_id	type	participants	mechanism	pmid	evidence_code	context_biotype	context_assay	module	crosstalk_modules	notes
M1_reaction_997311	TODO	species_29356;species_909705;species_997300;species_29372	Dephosphorylation of TYK2 by PTP1B	11694501	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_1015702	TODO	species_9034125;species_168699;species_1015684;species_174336;species_5624198;species_1015677;species_9684472;species_1015673;species_1015688;species_1015680;species_199523;species_1015693;species_1015682;species_947487;species_983117;species_1015696;species_947492;species_1015695;species_937341;species_5624199;species_5624196;species_1015671;species_936552;species_1031703;species_947491;species_53939;species_1015674;species_1015687	Expression of IFN-induced genes	14769151;9861020;11404376;11092454;12029096;11337497;9096384;16009940;15047845;6162102;2211721;6548414;1730654;30485383;23121362;688397;12766484	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_912685	TODO	species_912325;species_877333;species_912690	UBP43 binds IFNAR2 and prevents JAK1 interaction	16710296	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_997314	TODO	species_29356;species_997300;species_909703;species_29372	Dephosphorylation of JAK1 by SHP1	8943354;18508557	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_909725	TODO	species_909702;species_879183;species_909698	Interaction of IRF9 with p-STAT2:p-STAT1	7537377;9242679;8621447	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_9678737	TODO	species_9678619;species_909708;species_9678695	IFNAR1:TYK2 binds TYK2 inhibitors	23061660;24417533;32032529;32113509	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_9710963	TODO	species_180733;species_9757478;species_9757476	p-STAT1dimer:KPNA1 binds KPNB1	20643137;17596301;33097660;18845677;21029754;22520844;11927559;34097873;12048190;7604027;10353244	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_909732	TODO	species_909696;species_113592;species_909697;species_29370	Phosphorylation of STAT2	16987978;10542297;8197134	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_913529	TODO	species_9757480;species_188865;species_180714;species_913526	Translocation of p-STAT1:p-STAT1 dimer to nucleus	7510216	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_909718	TODO	species_380745;species_113592;species_913524;species_29370	Formation of p-STAT1 homodimer	7510216;17351669	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_9678935	TODO	species_918193;species_9678984;species_9678951	IFNAR2:JAK1:STAT2 binds JAK1,2 inhibitors	20363976;20130243;24417533;32511913;32032529;32278797	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_909730	TODO	species_909705;species_113592;species_29370;species_909704	Phosphorylation of INFAR1 by TYK2	8605876;7526154	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_912680	TODO	species_909703;species_877267;species_912681	Inhibition of JAK kinase activity by SOCS1/3		TODO			M1		auto-imported from R-HSA-909733.owl
M1_reaction_909726	TODO	species_909697;species_380755;species_113592;species_909711;species_29370	Phosphorylation of STAT1	10982844;8232552;32953130;16214811	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_909719	TODO	species_882029;species_909704;species_909696	Recruitment of STAT2 to p-IFNAR1	8605876;17251292	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_1015699	TODO	species_9034125;species_913527;species_1015697	ISGF3 binds the ISRE promoter elements in IFN-stimulated genes	9861020;12766484;18575461;7540766	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_5223305	TODO	species_5216010;species_5357403;species_5223322	ABCE1 binds RNASEL, inhibiting it	9660177;9847332;11585831	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_9696179	TODO	species_918193;species_9696187;species_9696161	IFNAR2:JAK1:STAT2 binds type 1 interferon analogs	18035202;11377645;25371710;32862111;33189161;32661006;32574262;33193462;33396578;33117408;32758689;32416070;32661059	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_9710959	TODO	species_180612;species_9710957;species_9757478	p-STAT1 dimer binds KPNA1	20643137;22520844;11927559;12048190;10353244	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_909721	TODO	species_9710965;species_188865;species_180714;species_913527	Translocation of ISGF3 complex to nucleus	17351669	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_909729	TODO	species_909703;species_113592;species_909705;species_29370	Activation of JAK kinases	9334213;8702790;11100472	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_997309	TODO	species_29356;species_909711;species_997304;species_29372	Dephosphorylation of STAT1 by SHP2	10022928;18508557	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_909724	TODO	species_909708;species_918195;species_909703	Recruitment of IFNAR1	16171819;15449939;15312780;17969444	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_909720	TODO	species_918193;species_909690;species_918195	IFN alpha/beta binds to IFNAR2	12842042;10395669;15312780;15778442;9334213;17969444;9121453;11786546;8156998	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M1_reaction_909722	TODO	species_909711;species_909702;species_909704	Release of p-STAT2:p-STAT1 dimer	8621447;17351669	ECO:0000305			M1		auto-imported from R-HSA-909733.owl
M2_reaction_186778	TODO	species_162563;species_186811;species_186839	SHP2 binds to the active receptor	7691811;9739761	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_382055	TODO	species_204819;species_186811;species_381956	Grb7 binds to the active PDGF receptor	8940081;10508235;9739761	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_382053	TODO	species_381936;species_381926	Translocation of PDGF from ER to Golgi	1639841;15207811	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_8864036	TODO	species_29356;species_8864037;species_8864045;species_29372	PTPN12 dephosphorylates PDGFRB at Y1021	21376233	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_382056	TODO	species_381945;species_186811;species_381955	Crk binds to the active PDGF receptor	9546424;10508235;9739761	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_8865276	TODO	species_380751;species_380759;species_8865269;species_389066	PDGF-AB clevage by Furin	1639841;15207811;10508235;2842868;16007151;12463163	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_186826	TODO	species_109797;species_186811;species_186827	GRB2:SOS1 complex binds to the active receptor	7935391;9739761;8388543	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_9674093	TODO	species_9674075;species_389079;species_9674082	PDGFRs bind type I TKI	23583652;28435517;25597754;25328409;29093181;29964125;29408302	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_186786	TODO	species_389078;species_113592;species_389074;species_29370	Autophosphorylation of PDGF beta receptors	9739761	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_186780	TODO	species_74693;species_186811;species_186789	PI3-kinase binds to the active receptor	2466336;9739761;1374684	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_1524186	TODO	species_186795;species_113592;species_1524184;species_29370	Phosphorylation of PLCgamma by PDGFR	2472219;10579907	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_186798	TODO	species_186833;species_389074;species_186830	GAP binds to PDGF-beta receptors only	1375321;1314164;9739761	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_389083	TODO	species_113592;species_389079;species_389073;species_29370	Autophosphorylation of PDGF alpha receptors	9739761;30389923;29093181;19564526;29408302;29964125;29137923	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_382052	TODO	species_381955;species_913472;species_201625;species_381957	p130Cas and C3G bind PDGFR bound Crk	9546424;9739761	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_186773	TODO	species_186792;species_380760;species_186766	PDGF dimer binds two receptors simultaneously	9739761;29408302;23583652;28435517;25597754;25328409;15615512;16436588;17943726;21251937;18559524;29263244;12369853;16474853;12538485;17367763;22933705;16331269;20813817;17604334	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_382057	TODO	species_381942;species_381947	Release of novel PDGFs as latent factors	15207811	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_186819	TODO	species_8876922;species_186811;species_186831	SH2 domain of Src binds to the active receptor	7685273;9488729;10508235;9739761	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_380780	TODO	species_113592;species_186831;species_380768;species_29370	Activation of Src	8647855;9739761	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_186785	TODO	species_380749;species_8865271;species_380761	PDGF-AA clevage by Furin	1639841;15207811;10508235;2842868;16007151;12463163	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_8865275	TODO	species_380748;species_184206;species_389066	PDGF-BB clevage by Furin	1639841;15207811;10508235;2842868;16007151;12463163	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_389086	TODO	species_389077;species_113592;species_29370;species_389076	Autophosphorylation of PDGF alpha/beta receptors	9739761	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_382054	TODO	species_381946;species_381934;species_381952	PDGF binds to extracellular matrix proteins	10508235;8900172;1311092;9334164;1639841	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_380782	TODO	species_380756;species_186811;species_380766	STAT binds to the active receptor	9739761;9484840;8657151	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
M2_reaction_9674095	TODO	species_9674079;species_186792;species_9674086	PDGFRs bind type II TKI	15615512;16436588;17943726;21251937;18559524;29263244;12369853;16474853;12538485;17367763;29408302;29137923;31085175	ECO:0000305			M2		auto-imported from R-HSA-186797.owl
